
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
    5745     |    32556    |    83.63    | 7.5545e-01  | 1.7900e-02  |      2      |  2.00e+00   |    0.00     
    5746     |    32560    |    83.63    | 7.5545e-01  | 1.1694e-02  |      1      |  1.00e+00   |    0.00     
    5747     |    32564    |    83.64    | 7.5545e-01  | 1.8729e-02  |      1      |  1.00e+00   |    0.00     
    5748     |    32570    |    83.66    | 7.5545e-01  | 2.5775e-02  |      2      |  2.00e+00   |    0.00     
    5749     |    32580    |    83.69    | 7.5545e-01  | 1.2557e-02  |      2      |  3.61e-01   |    0.00     
    5750     |    32586    |    83.70    | 7.5545e-01  | 2.1365e-02  |      2      |  2.00e+00   |    0.00     
    5751     |    32592    |    83.72    | 7.5545e-01  | 1.3899e-02  |      2      |  2.00e+00   |    0.00     
    5752     |    32596    |    83.73    | 7.5545e-01  | 6.4066e-03  |      1      |  1.00e+00   |    0.00     
    5753     |    32606    |    83.76    | 7.5545e-01  | 1.7883e-02  |      2      |  6.00e-01   |    0.00     
    5754     |    32612    |    83.78    | 7.5545e-01  | 8.4914e-03  |      2      |  2.00e+00   |    0.00     
    5755     |    32618    |    83.79    | 7.5545e-01  | 4.7859e-03  |      2      |  2.00e+00   |    0.00     
    5756     |    32624    |    83.80    | 7.5545e-01  | 8.6921e-03  |      2      |  2.00e+00   |    0.00     
    5757     |    32630    |    83.82    | 7.5545e-01  | 1.2916e-02  |      2      |  2.00e+00   |    0.00     
    5758     |    32634    |    83.83    | 7.5545e-01  | 1.1370e-02  |      1      |  1.00e+00   |    0.00     
    5759     |    32638    |    83.84    | 7.5545e-01  | 2.0762e-02  |      1      |  1.00e+00   |    0.00     
    5760     |    32642    |    83.85    | 7.5545e-01  | 1.0934e-02  |      1      |  1.00e+00   |    0.00     
    5761     |    32646    |    83.86    | 7.5545e-01  | 7.5713e-03  |      1      |  1.00e+00   |    0.00     
    5762     |    32654    |    83.88    | 7.5545e-01  | 1.5122e-02  |      3      |  4.00e+00   |    0.00     
    5763     |    32662    |    83.90    | 7.5545e-01  | 2.8194e-02  |      3      |  4.00e+00   |    0.00     
    5764     |    32672    |    83.93    | 7.5545e-01  | 1.1228e-02  |      2      |  4.38e-01   |    0.00     
    5765     |    32676    |    83.94    | 7.5545e-01  | 1.0575e-02  |      1      |  1.00e+00   |    0.00     
    5766     |    32682    |    83.95    | 7.5545e-01  | 8.4058e-03  |      2      |  2.00e+00   |    0.00     
    5767     |    32688    |    83.97    | 7.5545e-01  | 1.9062e-02  |      2      |  2.00e+00   |    0.00     
    5768     |    32692    |    83.98    | 7.5545e-01  | 1.2325e-02  |      1      |  1.00e+00   |    0.00     
    5769     |    32696    |    83.99    | 7.5545e-01  | 7.1858e-03  |      1      |  1.00e+00   |    0.00     
    5770     |    32702    |    84.00    | 7.5545e-01  | 1.6269e-02  |      2      |  2.00e+00   |    0.00     
    5771     |    32712    |    84.03    | 7.5545e-01  | 2.1883e-02  |      2      |  2.13e-01   |    0.00     
    5772     |    32718    |    84.05    | 7.5545e-01  | 1.3845e-02  |      2      |  2.00e+00   |    0.00     
    5773     |    32722    |    84.06    | 7.5545e-01  | 1.0531e-02  |      1      |  1.00e+00   |    0.00     
    5774     |    32726    |    84.06    | 7.5545e-01  | 3.0991e-02  |      1      |  1.00e+00   |    0.00     
    5775     |    32730    |    84.07    | 7.5545e-01  | 1.1507e-02  |      1      |  1.00e+00   |    0.00     
    5776     |    32736    |    84.09    | 7.5545e-01  | 8.1449e-03  |      2      |  2.00e+00   |    0.00     
    5777     |    32742    |    84.10    | 7.5545e-01  | 1.8288e-02  |      2      |  2.00e+00   |    0.00     
    5778     |    32748    |    84.12    | 7.5545e-01  | 1.7525e-02  |      2      |  2.00e+00   |    0.00     
    5779     |    32754    |    84.13    | 7.5545e-01  | 1.1677e-02  |      2      |  2.00e+00   |    0.00     
    5780     |    32758    |    84.14    | 7.5545e-01  | 3.3347e-02  |      1      |  1.00e+00   |    0.00     
    5781     |    32762    |    84.15    | 7.5545e-01  | 1.4936e-02  |      1      |  1.00e+00   |    0.00     
    5782     |    32766    |    84.16    | 7.5545e-01  | 1.6366e-02  |      1      |  1.00e+00   |    0.00     
    5783     |    32772    |    84.18    | 7.5545e-01  | 2.3359e-02  |      2      |  2.00e+00   |    0.00     
    5784     |    32778    |    84.19    | 7.5545e-01  | 2.3872e-02  |      2      |  2.00e+00   |    0.00     
    5785     |    32788    |    84.22    | 7.5545e-01  | 1.8876e-02  |      2      |  2.45e-01   |    0.00     
    5786     |    32792    |    84.23    | 7.5545e-01  | 1.6036e-02  |      1      |  1.00e+00   |    0.00     
    5787     |    32798    |    84.25    | 7.5545e-01  | 1.2488e-02  |      2      |  2.00e+00   |    0.00     
    5788     |    32804    |    84.26    | 7.5545e-01  | 1.2530e-02  |      2      |  2.00e+00   |    0.00     
    5789     |    32808    |    84.27    | 7.5545e-01  | 2.3341e-02  |      1      |  1.00e+00   |    0.00     
    5790     |    32814    |    84.28    | 7.5545e-01  | 1.6168e-02  |      2      |  2.00e+00   |    0.00     
    5791     |    32818    |    84.29    | 7.5545e-01  | 1.4788e-02  |      1      |  1.00e+00   |    0.00     
    5792     |    32822    |    84.30    | 7.5545e-01  | 1.3228e-02  |      1      |  1.00e+00   |    0.00     
    5793     |    32832    |    84.33    | 7.5545e-01  | 3.5906e-02  |      2      |  3.65e-01   |    0.00     
    5794     |    32838    |    84.35    | 7.5545e-01  | 1.7390e-02  |      2      |  2.00e+00   |    0.00     
    5795     |    32844    |    84.36    | 7.5545e-01  | 1.6701e-02  |      2      |  2.00e+00   |    0.00     
    5796     |    32854    |    84.39    | 7.5545e-01  | 2.4497e-02  |      2      |  2.48e-01   |    0.00     
    5797     |    32858    |    84.40    | 7.5545e-01  | 1.6370e-02  |      1      |  1.00e+00   |    0.00     
    5798     |    32862    |    84.41    | 7.5545e-01  | 1.0763e-02  |      1      |  1.00e+00   |    0.00     
    5799     |    32868    |    84.43    | 7.5545e-01  | 9.9614e-03  |      2      |  2.00e+00   |    0.00     
    5800     |    32872    |    84.44    | 7.5545e-01  | 1.0767e-02  |      1      |  1.00e+00   |    0.00     
    5801     |    32876    |    84.45    | 7.5545e-01  | 9.1815e-03  |      1      |  1.00e+00   |    0.00     
    5802     |    32880    |    84.46    | 7.5545e-01  | 1.2985e-02  |      1      |  1.00e+00   |    0.00     
    5803     |    32884    |    84.46    | 7.5545e-01  | 1.2700e-02  |      1      |  1.00e+00   |    0.00     
    5804     |    32890    |    84.48    | 7.5545e-01  | 1.5558e-02  |      2      |  2.00e+00   |    0.00     
    5805     |    32894    |    84.49    | 7.5545e-01  | 8.6370e-03  |      1      |  1.00e+00   |    0.00     
    5806     |    32898    |    84.50    | 7.5545e-01  | 8.4388e-03  |      1      |  1.00e+00   |    0.00     
    5807     |    32908    |    84.53    | 7.5545e-01  | 2.0756e-02  |      2      |  1.39e-01   |    0.00     
    5808     |    32912    |    84.54    | 7.5545e-01  | 1.6332e-02  |      1      |  1.00e+00   |    0.00     
    5809     |    32918    |    84.55    | 7.5545e-01  | 1.3940e-02  |      2      |  2.00e+00   |    0.00     
    5810     |    32924    |    84.57    | 7.5545e-01  | 1.2252e-02  |      2      |  2.00e+00   |    0.00     
    5811     |    32934    |    84.60    | 7.5545e-01  | 1.8884e-02  |      2      |  5.12e-01   |    0.00     
    5812     |    32938    |    84.61    | 7.5545e-01  | 7.5788e-03  |      1      |  1.00e+00   |    0.00     
    5813     |    32944    |    84.62    | 7.5545e-01  | 1.0351e-02  |      2      |  2.00e+00   |    0.00     
    5814     |    32952    |    84.64    | 7.5545e-01  | 1.4125e-02  |      3      |  4.00e+00   |    0.00     
    5815     |    32962    |    84.67    | 7.5545e-01  | 2.8125e-02  |      2      |  3.39e-01   |    0.00     
    5816     |    32966    |    84.68    | 7.5545e-01  | 1.0475e-02  |      1      |  1.00e+00   |    0.00     
    5817     |    32970    |    84.69    | 7.5545e-01  | 1.2780e-02  |      1      |  1.00e+00   |    0.00     
    5818     |    32974    |    84.70    | 7.5545e-01  | 9.7342e-03  |      1      |  1.00e+00   |    0.00     
    5819     |    32984    |    84.73    | 7.5545e-01  | 2.8914e-02  |      2      |  4.65e-01   |    0.00     
    5820     |    32990    |    84.75    | 7.5545e-01  | 1.2126e-02  |      2      |  2.00e+00   |    0.00     
    5821     |    32996    |    84.76    | 7.5545e-01  | 2.2082e-02  |      2      |  2.00e+00   |    0.00     
    5822     |    33004    |    84.78    | 7.5545e-01  | 1.4879e-02  |      3      |  4.00e+00   |    0.00     
    5823     |    33010    |    84.80    | 7.5545e-01  | 2.2320e-02  |      2      |  2.00e+00   |    0.00     
    5824     |    33016    |    84.81    | 7.5545e-01  | 9.2106e-03  |      2      |  2.00e+00   |    0.00     
    5825     |    33020    |    84.82    | 7.5545e-01  | 1.3573e-02  |      1      |  1.00e+00   |    0.00     
    5826     |    33024    |    84.83    | 7.5545e-01  | 1.4339e-02  |      1      |  1.00e+00   |    0.00     
    5827     |    33030    |    84.85    | 7.5545e-01  | 1.3798e-02  |      2      |  2.00e+00   |    0.00     
    5828     |    33034    |    84.86    | 7.5545e-01  | 5.0899e-02  |      1      |  1.00e+00   |    0.00     
    5829     |    33040    |    84.87    | 7.5545e-01  | 2.1787e-02  |      2      |  2.00e+00   |    0.00     
    5830     |    33044    |    84.88    | 7.5545e-01  | 1.4282e-02  |      1      |  1.00e+00   |    0.00     
    5831     |    33048    |    84.89    | 7.5545e-01  | 9.5927e-03  |      1      |  1.00e+00   |    0.00     
    5832     |    33052    |    84.90    | 7.5545e-01  | 1.2706e-02  |      1      |  1.00e+00   |    0.00     
    5833     |    33056    |    84.91    | 7.5545e-01  | 1.6950e-02  |      1      |  1.00e+00   |    0.00     
    5834     |    33060    |    84.92    | 7.5545e-01  | 1.1345e-02  |      1      |  1.00e+00   |    0.00     
    5835     |    33064    |    84.92    | 7.5545e-01  | 8.5611e-03  |      1      |  1.00e+00   |    0.00     
    5836     |    33068    |    84.93    | 7.5545e-01  | 1.4769e-02  |      1      |  1.00e+00   |    0.00     
    5837     |    33072    |    84.94    | 7.5545e-01  | 7.7015e-03  |      1      |  1.00e+00   |    0.00     
    5838     |    33082    |    84.97    | 7.5545e-01  | 1.3569e-02  |      2      |  5.53e-01   |    0.00     
    5839     |    33086    |    84.98    | 7.5545e-01  | 9.3753e-03  |      1      |  1.00e+00   |    0.00     
    5840     |    33092    |    85.00    | 7.5545e-01  | 8.6194e-03  |      2      |  2.00e+00   |    0.00     
    5841     |    33102    |    85.03    | 7.5545e-01  | 2.3061e-02  |      2      |  3.77e-01   |    0.00     
    5842     |    33108    |    85.04    | 7.5545e-01  | 9.3957e-03  |      2      |  2.00e+00   |    0.00     
    5843     |    33112    |    85.05    | 7.5545e-01  | 9.8205e-03  |      1      |  1.00e+00   |    0.00     
    5844     |    33116    |    85.06    | 7.5545e-01  | 6.9529e-03  |      1      |  1.00e+00   |    0.00     
    5845     |    33120    |    85.07    | 7.5545e-01  | 1.8619e-02  |      1      |  1.00e+00   |    0.00     
    5846     |    33124    |    85.08    | 7.5545e-01  | 8.6032e-03  |      1      |  1.00e+00   |    0.00     
    5847     |    33130    |    85.10    | 7.5545e-01  | 1.6430e-02  |      2      |  2.00e+00   |    0.00     
    5848     |    33136    |    85.11    | 7.5545e-01  | 6.1788e-03  |      2      |  2.00e+00   |    0.00     
    5849     |    33140    |    85.12    | 7.5545e-01  | 1.0691e-02  |      1      |  1.00e+00   |    0.00     
    5850     |    33144    |    85.13    | 7.5545e-01  | 1.2645e-02  |      1      |  1.00e+00   |    0.00     
    5851     |    33150    |    85.14    | 7.5545e-01  | 9.3956e-03  |      2      |  2.00e+00   |    0.00     
    5852     |    33158    |    85.16    | 7.5545e-01  | 1.8074e-02  |      3      |  4.00e+00   |    0.00     
    5853     |    33164    |    85.18    | 7.5545e-01  | 1.0737e-02  |      2      |  2.00e+00   |    0.00     
    5854     |    33168    |    85.19    | 7.5545e-01  | 9.3532e-03  |      1      |  1.00e+00   |    0.00     
    5855     |    33172    |    85.20    | 7.5545e-01  | 1.1935e-02  |      1      |  1.00e+00   |    0.00     
    5856     |    33178    |    85.21    | 7.5545e-01  | 2.3115e-02  |      2      |  2.00e+00   |    0.00     
    5857     |    33184    |    85.23    | 7.5545e-01  | 3.1694e-02  |      2      |  2.00e+00   |    0.00     
    5858     |    33190    |    85.24    | 7.5545e-01  | 1.6835e-02  |      2      |  2.00e+00   |    0.00     
    5859     |    33194    |    85.25    | 7.5545e-01  | 1.1782e-02  |      1      |  1.00e+00   |    0.00     
    5860     |    33204    |    85.28    | 7.5545e-01  | 1.7412e-02  |      2      |  3.99e-01   |    0.00     
    5861     |    33210    |    85.30    | 7.5545e-01  | 8.4183e-03  |      2      |  2.00e+00   |    0.00     
    5862     |    33216    |    85.31    | 7.5545e-01  | 1.0735e-02  |      2      |  2.00e+00   |    0.00     
    5863     |    33220    |    85.32    | 7.5545e-01  | 1.0669e-02  |      1      |  1.00e+00   |    0.00     
    5864     |    33224    |    85.33    | 7.5545e-01  | 9.4868e-03  |      1      |  1.00e+00   |    0.00     
    5865     |    33230    |    85.34    | 7.5545e-01  | 2.6124e-02  |      2      |  2.00e+00   |    0.00     
    5866     |    33236    |    85.36    | 7.5545e-01  | 1.4810e-02  |      2      |  2.00e+00   |    0.00     
    5867     |    33240    |    85.37    | 7.5545e-01  | 9.0262e-03  |      1      |  1.00e+00   |    0.00     
    5868     |    33244    |    85.38    | 7.5545e-01  | 1.4234e-02  |      1      |  1.00e+00   |    0.00     
    5869     |    33248    |    85.39    | 7.5545e-01  | 1.3033e-02  |      1      |  1.00e+00   |    0.00     
    5870     |    33252    |    85.40    | 7.5545e-01  | 1.3766e-02  |      1      |  1.00e+00   |    0.00     
    5871     |    33262    |    85.43    | 7.5545e-01  | 9.3838e-03  |      2      |  1.94e-01   |    0.00     
    5872     |    33266    |    85.44    | 7.5545e-01  | 5.7109e-03  |      1      |  1.00e+00   |    0.00     
    5873     |    33270    |    85.45    | 7.5545e-01  | 5.6845e-03  |      1      |  1.00e+00   |    0.00     
    5874     |    33274    |    85.45    | 7.5545e-01  | 6.1912e-03  |      1      |  1.00e+00   |    0.00     
    5875     |    33278    |    85.46    | 7.5545e-01  | 1.8457e-02  |      1      |  1.00e+00   |    0.00     
    5876     |    33282    |    85.47    | 7.5545e-01  | 8.1692e-03  |      1      |  1.00e+00   |    0.00     
    5877     |    33286    |    85.48    | 7.5545e-01  | 7.3357e-03  |      1      |  1.00e+00   |    0.00     
    5878     |    33290    |    85.49    | 7.5545e-01  | 9.5375e-03  |      1      |  1.00e+00   |    0.00     
    5879     |    33294    |    85.50    | 7.5545e-01  | 1.0874e-02  |      1      |  1.00e+00   |    0.00     
    5880     |    33298    |    85.51    | 7.5545e-01  | 1.4813e-02  |      1      |  1.00e+00   |    0.00     
    5881     |    33308    |    85.54    | 7.5545e-01  | 2.1795e-02  |      2      |  3.79e-01   |    0.00     
    5882     |    33312    |    85.55    | 7.5545e-01  | 6.3086e-03  |      1      |  1.00e+00   |    0.00     
    5883     |    33318    |    85.56    | 7.5545e-01  | 6.7869e-03  |      2      |  2.00e+00   |    0.00     
    5884     |    33322    |    85.57    | 7.5545e-01  | 5.5833e-03  |      1      |  1.00e+00   |    0.00     
    5885     |    33326    |    85.58    | 7.5545e-01  | 1.5782e-02  |      1      |  1.00e+00   |    0.00     
    5886     |    33330    |    85.59    | 7.5545e-01  | 1.2671e-02  |      1      |  1.00e+00   |    0.00     
    5887     |    33334    |    85.60    | 7.5545e-01  | 6.0418e-03  |      1      |  1.00e+00   |    0.00     
    5888     |    33338    |    85.61    | 7.5545e-01  | 8.5069e-03  |      1      |  1.00e+00   |    0.00     
    5889     |    33342    |    85.62    | 7.5545e-01  | 1.1315e-02  |      1      |  1.00e+00   |    0.00     
    5890     |    33346    |    85.63    | 7.5545e-01  | 1.5627e-02  |      1      |  1.00e+00   |    0.00     
    5891     |    33350    |    85.64    | 7.5545e-01  | 6.3473e-03  |      1      |  1.00e+00   |    0.00     
    5892     |    33360    |    85.67    | 7.5545e-01  | 1.7342e-02  |      2      |  4.07e-01   |    0.00     
    5893     |    33366    |    85.68    | 7.5545e-01  | 6.4822e-03  |      2      |  2.00e+00   |    0.00     
    5894     |    33374    |    85.70    | 7.5545e-01  | 1.4269e-02  |      3      |  4.00e+00   |    0.00     
    5895     |    33380    |    85.72    | 7.5545e-01  | 9.4002e-03  |      2      |  2.00e+00   |    0.00     
    5896     |    33384    |    85.73    | 7.5545e-01  | 6.6155e-03  |      1      |  1.00e+00   |    0.00     
    5897     |    33388    |    85.74    | 7.5545e-01  | 1.1486e-02  |      1      |  1.00e+00   |    0.00     
    5898     |    33392    |    85.75    | 7.5545e-01  | 1.1569e-02  |      1      |  1.00e+00   |    0.00     
    5899     |    33398    |    85.76    | 7.5545e-01  | 1.0217e-02  |      2      |  2.00e+00   |    0.00     
    5900     |    33404    |    85.78    | 7.5545e-01  | 1.1150e-02  |      2      |  2.00e+00   |    0.00     
    5901     |    33408    |    85.78    | 7.5545e-01  | 1.2005e-02  |      1      |  1.00e+00   |    0.00     
    5902     |    33412    |    85.79    | 7.5545e-01  | 6.9836e-03  |      1      |  1.00e+00   |    0.00     
    5903     |    33416    |    85.80    | 7.5545e-01  | 1.6360e-02  |      1      |  1.00e+00   |    0.00     
    5904     |    33426    |    85.83    | 7.5545e-01  | 7.2500e-03  |      2      |  3.53e-01   |    0.00     
    5905     |    33430    |    85.84    | 7.5545e-01  | 4.2083e-03  |      1      |  1.00e+00   |    0.00     
    5906     |    33436    |    85.86    | 7.5545e-01  | 8.2145e-03  |      2      |  2.00e+00   |    0.00     
    5907     |    33444    |    85.88    | 7.5545e-01  | 7.0228e-03  |      3      |  4.00e+00   |    0.00     
    5908     |    33448    |    85.89    | 7.5545e-01  | 9.3794e-03  |      1      |  1.00e+00   |    0.00     
    5909     |    33454    |    85.90    | 7.5545e-01  | 1.1926e-02  |      2      |  2.00e+00   |    0.00     
    5910     |    33458    |    85.91    | 7.5545e-01  | 7.9251e-03  |      1      |  1.00e+00   |    0.00     
    5911     |    33464    |    85.93    | 7.5545e-01  | 1.1405e-02  |      2      |  2.00e+00   |    0.00     
    5912     |    33472    |    85.95    | 7.5545e-01  | 1.2101e-02  |      3      |  4.00e+00   |    0.00     
    5913     |    33482    |    85.98    | 7.5545e-01  | 8.5343e-03  |      2      |  5.83e-01   |    0.00     
    5914     |    33488    |    85.99    | 7.5545e-01  | 8.3432e-03  |      2      |  2.00e+00   |    0.00     
    5915     |    33496    |    86.01    | 7.5545e-01  | 1.2686e-02  |      3      |  4.00e+00   |    0.00     
    5916     |    33502    |    86.03    | 7.5545e-01  | 9.6080e-03  |      2      |  2.00e+00   |    0.00     
    5917     |    33508    |    86.04    | 7.5545e-01  | 6.4514e-03  |      2      |  2.00e+00   |    0.00     
    5918     |    33514    |    86.06    | 7.5545e-01  | 1.0266e-02  |      2      |  2.00e+00   |    0.00     
    5919     |    33518    |    86.07    | 7.5545e-01  | 1.8633e-02  |      1      |  1.00e+00   |    0.00     
    5920     |    33522    |    86.08    | 7.5545e-01  | 1.1506e-02  |      1      |  1.00e+00   |    0.00     
    5921     |    33526    |    86.09    | 7.5545e-01  | 9.3458e-03  |      1      |  1.00e+00   |    0.00     
    5922     |    33530    |    86.09    | 7.5545e-01  | 7.7614e-03  |      1      |  1.00e+00   |    0.00     
    5923     |    33538    |    86.12    | 7.5545e-01  | 1.2810e-02  |      3      |  4.00e+00   |    0.00     
    5924     |    33544    |    86.13    | 7.5545e-01  | 1.2689e-02  |      2      |  2.00e+00   |    0.00     
    5925     |    33548    |    86.14    | 7.5545e-01  | 1.3483e-02  |      1      |  1.00e+00   |    0.00     
    5926     |    33552    |    86.15    | 7.5545e-01  | 8.7107e-03  |      1      |  1.00e+00   |    0.00     
    5927     |    33558    |    86.16    | 7.5545e-01  | 1.9842e-02  |      2      |  2.00e+00   |    0.00     
    5928     |    33562    |    86.17    | 7.5545e-01  | 1.8412e-02  |      1      |  1.00e+00   |    0.00     
    5929     |    33566    |    86.18    | 7.5545e-01  | 1.3491e-02  |      1      |  1.00e+00   |    0.00     
    5930     |    33570    |    86.19    | 7.5545e-01  | 1.2228e-02  |      1      |  1.00e+00   |    0.00     
    5931     |    33574    |    86.20    | 7.5545e-01  | 1.8865e-02  |      1      |  1.00e+00   |    0.00     
    5932     |    33578    |    86.21    | 7.5545e-01  | 1.2995e-02  |      1      |  1.00e+00   |    0.00     
    5933     |    33582    |    86.22    | 7.5545e-01  | 8.5487e-03  |      1      |  1.00e+00   |    0.00     
    5934     |    33586    |    86.23    | 7.5545e-01  | 7.6696e-03  |      1      |  1.00e+00   |    0.00     
    5935     |    33590    |    86.24    | 7.5545e-01  | 2.6660e-02  |      1      |  1.00e+00   |    0.00     
    5936     |    33596    |    86.25    | 7.5545e-01  | 1.1578e-02  |      2      |  2.00e+00   |    0.00     
    5937     |    33602    |    86.27    | 7.5545e-01  | 7.1453e-03  |      2      |  2.00e+00   |    0.00     
    5938     |    33608    |    86.28    | 7.5545e-01  | 1.1587e-02  |      2      |  2.00e+00   |    0.00     
    5939     |    33614    |    86.30    | 7.5545e-01  | 1.1783e-02  |      2      |  2.00e+00   |    0.00     
    5940     |    33620    |    86.31    | 7.5545e-01  | 1.1368e-02  |      2      |  2.00e+00   |    0.00     
    5941     |    33624    |    86.32    | 7.5545e-01  | 1.8015e-02  |      1      |  1.00e+00   |    0.00     
    5942     |    33630    |    86.33    | 7.5545e-01  | 2.0004e-02  |      2      |  2.00e+00   |    0.00     
    5943     |    33638    |    86.35    | 7.5545e-01  | 1.7341e-02  |      3      |  4.00e+00   |    0.00     
    5944     |    33642    |    86.36    | 7.5545e-01  | 1.6799e-02  |      1      |  1.00e+00   |    0.00     
    5945     |    33652    |    86.39    | 7.5545e-01  | 2.4216e-02  |      2      |  1.84e-01   |    0.00     
    5946     |    33656    |    86.40    | 7.5545e-01  | 2.0238e-02  |      1      |  1.00e+00   |    0.00     
    5947     |    33660    |    86.41    | 7.5545e-01  | 1.2829e-02  |      1      |  1.00e+00   |    0.00     
    5948     |    33664    |    86.42    | 7.5545e-01  | 1.4899e-02  |      1      |  1.00e+00   |    0.00     
    5949     |    33674    |    86.45    | 7.5545e-01  | 2.3973e-02  |      2      |  6.12e-01   |    0.00     
    5950     |    33680    |    86.47    | 7.5545e-01  | 1.2346e-02  |      2      |  2.00e+00   |    0.00     
    5951     |    33688    |    86.49    | 7.5545e-01  | 1.3666e-02  |      3      |  4.00e+00   |    0.00     
    5952     |    33692    |    86.50    | 7.5545e-01  | 1.4043e-02  |      1      |  1.00e+00   |    0.00     
    5953     |    33702    |    86.53    | 7.5545e-01  | 2.1340e-02  |      2      |  6.41e-01   |    0.00     
    5954     |    33706    |    86.54    | 7.5545e-01  | 8.1433e-03  |      1      |  1.00e+00   |    0.00     
    5955     |    33712    |    86.55    | 7.5545e-01  | 1.4872e-02  |      2      |  2.00e+00   |    0.00     
    5956     |    33718    |    86.57    | 7.5545e-01  | 1.3925e-02  |      2      |  2.00e+00   |    0.00     
    5957     |    33728    |    86.60    | 7.5545e-01  | 1.6636e-02  |      2      |  6.24e-01   |    0.00     
    5958     |    33732    |    86.61    | 7.5545e-01  | 6.2421e-03  |      1      |  1.00e+00   |    0.00     
    5959     |    33738    |    86.62    | 7.5545e-01  | 1.2232e-02  |      2      |  2.00e+00   |    0.00     
    5960     |    33744    |    86.64    | 7.5545e-01  | 8.9099e-03  |      2      |  2.00e+00   |    0.00     
    5961     |    33750    |    86.65    | 7.5545e-01  | 8.7051e-03  |      2      |  2.00e+00   |    0.00     
    5962     |    33758    |    86.67    | 7.5545e-01  | 9.6532e-03  |      3      |  4.00e+00   |    0.00     
    5963     |    33768    |    86.71    | 7.5545e-01  | 1.1267e-02  |      2      |  4.85e-01   |    0.00     
    5964     |    33774    |    86.72    | 7.5545e-01  | 8.3947e-03  |      2      |  2.00e+00   |    0.00     
    5965     |    33780    |    86.74    | 7.5545e-01  | 1.2847e-02  |      2      |  2.00e+00   |    0.00     
    5966     |    33784    |    86.74    | 7.5545e-01  | 1.7213e-02  |      1      |  1.00e+00   |    0.00     
    5967     |    33794    |    86.78    | 7.5545e-01  | 1.6540e-02  |      2      |  4.09e-01   |    0.00     
    5968     |    33800    |    86.79    | 7.5545e-01  | 1.1514e-02  |      2      |  2.00e+00   |    0.00     
    5969     |    33806    |    86.81    | 7.5545e-01  | 8.0028e-03  |      2      |  2.00e+00   |    0.00     
    5970     |    33810    |    86.81    | 7.5545e-01  | 1.3001e-02  |      1      |  1.00e+00   |    0.00     
    5971     |    33820    |    86.85    | 7.5545e-01  | 1.2001e-02  |      2      |  9.64e-02   |    0.00     
    5972     |    33824    |    86.85    | 7.5545e-01  | 8.0815e-03  |      1      |  1.00e+00   |    0.00     
    5973     |    33830    |    86.87    | 7.5545e-01  | 1.0310e-02  |      2      |  2.00e+00   |    0.00     
    5974     |    33836    |    86.88    | 7.5545e-01  | 1.5382e-02  |      2      |  2.00e+00   |    0.00     
    5975     |    33840    |    86.89    | 7.5545e-01  | 3.4241e-02  |      1      |  1.00e+00   |    0.00     
    5976     |    33844    |    86.90    | 7.5545e-01  | 1.2862e-02  |      1      |  1.00e+00   |    0.00     
    5977     |    33848    |    86.91    | 7.5545e-01  | 1.0002e-02  |      1      |  1.00e+00   |    0.00     
    5978     |    33852    |    86.92    | 7.5545e-01  | 1.5900e-02  |      1      |  1.00e+00   |    0.00     
    5979     |    33856    |    86.93    | 7.5545e-01  | 4.7800e-02  |      1      |  1.00e+00   |    0.00     
    5980     |    33860    |    86.94    | 7.5545e-01  | 1.4181e-02  |      1      |  1.00e+00   |    0.00     
    5981     |    33866    |    86.95    | 7.5545e-01  | 1.0989e-02  |      2      |  2.00e+00   |    0.00     
    5982     |    33872    |    86.97    | 7.5545e-01  | 6.7516e-03  |      2      |  2.00e+00   |    0.00     
    5983     |    33878    |    86.98    | 7.5545e-01  | 8.1336e-03  |      2      |  2.00e+00   |    0.00     
    5984     |    33884    |    87.00    | 7.5545e-01  | 1.0738e-02  |      2      |  2.00e+00   |    0.00     
    5985     |    33894    |    87.03    | 7.5545e-01  | 9.3834e-03  |      2      |  2.44e-01   |    0.00     
    5986     |    33898    |    87.04    | 7.5545e-01  | 4.7014e-03  |      1      |  1.00e+00   |    0.00     
    5987     |    33904    |    87.05    | 7.5545e-01  | 9.6523e-03  |      2      |  2.00e+00   |    0.00     
    5988     |    33912    |    87.08    | 7.5545e-01  | 4.3093e-03  |      3      |  4.00e+00   |    0.00     
    5989     |    33922    |    87.11    | 7.5545e-01  | 1.0836e-02  |      2      |  3.30e-01   |    0.00     
    5990     |    33926    |    87.12    | 7.5545e-01  | 4.3458e-03  |      1      |  1.00e+00   |    0.00     
    5991     |    33932    |    87.13    | 7.5545e-01  | 4.5294e-03  |      2      |  2.00e+00   |    0.00     
    5992     |    33938    |    87.15    | 7.5545e-01  | 5.5210e-03  |      2      |  2.00e+00   |    0.00     
    5993     |    33942    |    87.15    | 7.5545e-01  | 1.7770e-02  |      1      |  1.00e+00   |    0.00     
    5994     |    33946    |    87.16    | 7.5545e-01  | 4.8320e-03  |      1      |  1.00e+00   |    0.00     
    5995     |    33950    |    87.17    | 7.5545e-01  | 3.7907e-03  |      1      |  1.00e+00   |    0.00     
